,제목,가격,판매지수,출판년월,연도,월
781,포에버 스트롱,20700,"판매지수 8,973",2025-12-01,2025,12
782,2026 에듀윌 주택관리사 1차 단원별 기출문제집,29700,"판매지수 10,419",2026-01-01,2026,1
783,2026 해커스 신용분석사 1부 한권합격 이론+적중문제+모의고사,26100,"판매지수 15,267",2026-01-01,2026,1
784,국보 : 하 · 화도 편,16200,"판매지수 11,058",2025-11-01,2025,11
785,2026 시나공 정보처리기사 필기 기출문제집,20700,"판매지수 10,212",2026-01-01,2026,1
786,해커스 Updated 토플 리딩 (Hackers Updated TOEFL READING),26100,"판매지수 49,377",2025-11-01,2025,11
787,2026 에듀윌 전기 전기기능사 필기 한권끝장 (핵심이론+8개년 기출),25200,"판매지수 22,821",2025-10-01,2025,10
788,2026 시나공 정보처리기사 필기 기본서,31500,"판매지수 23,409",2025-11-01,2025,11
789,2026 한 권으로 끝내는 시나공 컴활 1급 필기+실기(컴퓨터활용능력 1급),36000,"판매지수 35,148",2025-10-01,2025,10
790,나는 3학년 2반 전설의 애벌레,9900,"판매지수 30,783",2025-10-01,2025,10
791,100일 신문 100점 독해 : 국내편,17820,"판매지수 13,065",2025-10-01,2025,10
792,어른의 품위,17550,"판매지수 58,494",2025-10-01,2025,10
793,2026 굿잡!하지영쌤 직업상담사 2급 필기 기출문제,31500,"판매지수 14,997",2025-09-01,2025,9
794,주식투자 단기 트레이딩의 정석,29700,"판매지수 32,928",2025-09-01,2025,9
795,위대한 나의 발견 강점혁명,27000,"판매지수 35,085",2025-09-01,2025,9
796,미술관 여행자를 위한 도슨트 북,29700,"판매지수 68,430",2025-10-01,2025,10
797,바로 배워서 바로 써먹는 바이브 코딩,19800,"판매지수 21,654",2025-09-01,2025,9
798,말뚝들,15120,"판매지수 43,056",2025-08-01,2025,8
799,가공범,19800,"판매지수 135,222",2025-07-01,2025,7
800,2026 써니 행정법총론 핵심집약,28800,"판매지수 82,362",2025-07-01,2025,7
801,"어서 오세요, 공룡 박사님의 마음 상담소",15300,"판매지수 29,397",2025-06-01,2025,6
802,여름은 고작 계절,15750,"판매지수 43,914",2025-06-01,2025,6
803,엄마를 만나러 가는 길 1,16020,"판매지수 32,121",2025-08-01,2025,8
804,고전이 답했다 마땅히 가져야 할 부에 대하여,16020,"판매지수 105,501",2025-07-01,2025,7
805,서아쌤의 토익 비밀과외 START,15120,"판매지수 21,921",2025-06-01,2025,6
806,2026 문동균 한국사 한 권으로 모든 것을 정리하는 판서노트,15300,"판매지수 74,409",2025-06-01,2025,6
807,순간을 달리는 할머니 2,16200,"판매지수 30,318",2025-06-01,2025,6
808,순간을 달리는 할머니 1,16200,"판매지수 34,770",2025-06-01,2025,6
809,맞춤법 천재라면,13500,"판매지수 57,156",2025-06-01,2025,6
810,사는 동안 틈틈이 행복합시다,16020,"판매지수 51,471",2025-05-01,2025,5
811,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,18000,"판매지수 93,798",2025-05-01,2025,5
812,어스플러스 1 : 어스플러스 탐험대 플루,14220,"판매지수 22,944",2025-04-01,2025,4
813,특이점이 온다,37800,"판매지수 20,574",2025-03-01,2025,3
814,독끝 NCS 수리능력·응용수리 500제,26100,"판매지수 30,324",2025-03-01,2025,3
815,"다시, 공부머리 독서법: 영유아, 초등 저학년 편",17100,"판매지수 24,735",2025-03-01,2025,3
816,해커스 LEET(리트) 이재빈 언어이해 기본,25200,"판매지수 6,804",2025-01-01,2025,1
817,천 번을 흔들리며 아이는 어른이 됩니다,16020,"판매지수 21,576",2024-10-01,2024,10
818,돈에 대해 생각하고 또 생각하라,15300,"판매지수 3,918",2024-10-01,2024,10
819,행운이 구르는 속도,11700,"판매지수 49,485",2024-09-01,2024,9
820,황천의 츠가이 6 일반판,5850,"판매지수 8,202",2024-08-01,2024,8
821,열다섯에 곰이라니 2,13500,"판매지수 19,338",2024-08-01,2024,8
822,불안 세대,22320,"판매지수 44,181",2024-07-01,2024,7
823,영어로 문장 만들기 훈련 1차 임계점,19800,"판매지수 66,579",2024-07-01,2024,7
824,내 언어의 한계는 내 세계의 한계이다,16920,"판매지수 28,020",2024-05-01,2024,5
825,향기로운 꽃은 늠름하게 핀다 8,5400,"판매지수 21,582",2024-05-01,2024,5
826,율의 시선,11700,"판매지수 47,244",2024-04-01,2024,4
827,히든 픽처스,12600,"판매지수 34,983",2024-05-01,2024,5
828,가시고기,15300,"판매지수 42,738",2024-02-01,2024,2
829,불변의 법칙,22500,"판매지수 88,080",2024-02-01,2024,2
830,청소년을 위한 경제의 역사,15300,"판매지수 39,333",2024-01-01,2024,1
831,흐르는 강물처럼,15300,"판매지수 15,384",2024-01-01,2024,1
832,10대를 위한 돈으로 살 수 없는 것들,13500,"판매지수 9,030",2023-12-01,2023,12
833,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,17820,"판매지수 213,942",2023-12-01,2023,12
834,향기로운 꽃은 늠름하게 핀다 2,5400,"판매지수 22,542",2023-10-01,2023,10
835,오십에 읽는 주역,15300,"판매지수 42,561",2023-10-01,2023,10
836,여름을 한 입 베어 물었더니,12150,"판매지수 79,224",2023-08-01,2023,8
837,향기로운 꽃은 늠름하게 핀다 1,5400,"판매지수 23,544",2023-08-01,2023,8
838,부분과 전체,20700,"판매지수 19,083",2023-06-01,2023,6
839,역행자 확장판,17550,"판매지수 28,146",2023-05-01,2023,5
840,황천의 츠가이 3 일반판,5850,"판매지수 10,830",2023-05-01,2023,5
841,칩 워,25200,"판매지수 13,266",2023-05-01,2023,5
842,도둑맞은 집중력,16920,"판매지수 40,392",2024-06-01,2024,6
843,아비투스,19800,"판매지수 54,885",2023-03-01,2023,3
844,나와 너의 365일,13950,"판매지수 16,644",2023-03-01,2023,3
845,국가공인 산업보안관리사 적중예상문제집,27000,"판매지수 7,800",2025-07-01,2025,7
846,수확자,16650,"판매지수 16,752",2023-02-01,2023,2
847,일본어 상용한자 무작정 따라하기 1,23400,"판매지수 26,760",2023-01-01,2023,1
848,영어회화 핵심패턴 233,16200,"판매지수 28,443",2023-01-01,2023,1
849,만일 내가 인생을 다시 산다면 (35만 부 기념 스페셜 에디션),15480,"판매지수 24,663",2022-11-01,2022,11
850,나는 오래된 거리처럼 너를 사랑하고,10800,"판매지수 30,852",2022-08-01,2022,8
851,황천의 츠가이 1,5850,"판매지수 11,832",2022-08-01,2022,8
852,인류 최초의 문명과 이스라엘,25000,"판매지수 14,310",2022-07-01,2022,7
853,사서함 110호의 우편물,15300,"판매지수 35,226",2022-07-01,2022,7
854,해커스 JLPT(일본어능력시험)기출단어장 N5-N3,12510,"판매지수 70,080",2024-07-01,2024,7
855,한국단편소설 50,16920,"판매지수 74,121",2021-10-01,2021,10
856,해커스 일본어 JLPT N5 (일본어능력시험) 한 권으로 합격,24210,"판매지수 42,054",2024-07-01,2024,7
857,재미있고 빠른 알파벳 쓰기,6750,"판매지수 24,213",2021-07-01,2021,7
858,일본어 한자암기박사,16200,"판매지수 16,938",2025-09-01,2025,9
859,프레임,19800,"판매지수 29,037",2024-09-01,2024,9
860,나는 강물처럼 말해요,11700,"판매지수 9,432",2021-01-01,2021,1
861,사탕 트리,11700,"판매지수 18,711",2020-12-01,2020,12
862,정재승의 과학콘서트,16920,"판매지수 21,207",2020-07-01,2020,7
863,수학의 쓸모,19800,"판매지수 29,481",2020-04-01,2020,4
864,걱정 상자,10800,"판매지수 7,158",2019-06-01,2019,6
865,100 인생 그림책,19800,"판매지수 21,111",2019-02-01,2019,2
866,세상에서 제일 재밌는 종이접기,12600,"판매지수 46,119",2018-08-01,2018,8
867,방구석 미술관,16020,"판매지수 30,528",2018-08-01,2018,8
868,엄마는 왜 화만 낼까?,14220,"판매지수 15,528",2018-04-01,2018,4
869,회색 인간,11700,"판매지수 56,451",2017-12-01,2017,12
870,해커스 아이엘츠 리스닝 Hackers IELTS Listening,19710,"판매지수 34,836",2024-08-01,2024,8
871,해커스 아이엘츠 리딩 Hackers IELTS Reading,19710,"판매지수 37,410",2024-08-01,2024,8
872,갈매기/세 자매/바냐 아저씨/벚꽃 동산,10800,"판매지수 7,968",2016-09-01,2016,9
873,시지프 신화,10800,"판매지수 32,076",2016-06-01,2016,6
874,이토록 공부가 재미있어지는 순간,16200,"판매지수 73,896",2023-08-01,2023,8
875,악당의 무게,11700,"판매지수 22,971",2014-10-01,2014,10
876,소피가 화나면 정말 정말 화나면,10800,"판매지수 8,469",2013-11-01,2013,11
877,돈으로 살 수 없는 것들,16200,"판매지수 24,180",2012-04-01,2012,4
878,보도 섀퍼의 돈,15030,"판매지수 19,182",2011-05-01,2011,5
879,페스트,12600,"판매지수 24,315",2011-03-01,2011,3
880,영어순해 4th Edition,18900,"판매지수 46,428",2011-02-01,2011,2
881,그리스인 조르바,13320,"판매지수 19,068",2009-12-01,2009,12
882,프랑켄슈타인,11700,"판매지수 9,468",2007-04-01,2007,4
883,사과가 쿵!,9900,"판매지수 34,902",2006-07-01,2006,7
884,명상록,12350,"판매지수 13,614",2005-11-01,2005,11
885,자기 앞의 생,14400,"판매지수 37,326",2003-05-01,2003,5
886,수레바퀴 아래서,7200,"판매지수 30,360",2001-08-01,2001,8
887,고도를 기다리며,8100,"판매지수 31,959",2000-11-01,2000,11
888,삶의 한가운데,11700,"판매지수 10,476",1999-06-01,1999,6
889,강아지똥,12600,"판매지수 35,271",1996-04-01,1996,4
890,파우스트 2,11700,"판매지수 12,786",1999-03-01,1999,3
891,파우스트 1,9900,"판매지수 13,344",1999-03-01,1999,3
892,누가 내 머리에 똥쌌어?,9900,"판매지수 26,304",2002-01-01,2002,1
893,여러 개의 북을 두드리며,17820,"판매지수 4,116",2026-04-01,2026,4
894,시니어 스트레칭,16200,"판매지수 1,122",2026-05-01,2026,5
895,탁월한 피해자,17820,"판매지수 1,410",2026-05-01,2026,5
896,어느 날 수학이 재밌어졌습니다,15300,"판매지수 4,614",2026-05-01,2026,5
897,나는 시골에서 재미있게 살기로 했다,17820,"판매지수 5,745",2026-05-01,2026,5
898,초한지 인생 공부,17550,"판매지수 6,684",2026-05-01,2026,5
899,별세상 미용실,13500,"판매지수 17,202",2026-05-01,2026,5
